CustomerId,ProductId,City,State,ZipCode,Product,Category,SubCategory,Channel
1003_CId,110_PId,Bridgeport,NJ,008014,Cat Toys,Animals & Pet Supplies,Pet Supplies,Mobile
1016_CId,147_PId,Phoenix,AZ,085013,PDA Cases,Electronics,Electronics Accessories,Tablet
1025_CId,108_PId,Middlesex,NJ,008846,Cat Litter Box Mats,Animals & Pet Supplies,Pet Supplies,Mobile
1026_CId,130_PId,Stevens Point,WI,054481,Toy Craft Kits,Arts & Entertainment,Hobbies & Creative Arts,Tablet
1020_CId,103_PId,Rockford,IL,061109,Cat Food,Animals & Pet Supplies,Pet Supplies,Tablet
1022_CId,135_PId,San Jose,CA,095111,Otoscopes & Ophthalmoscopes,Business & Industrial,Medical,Tablet
1028_CId,111_PId,Easton,MD,021601,Dirndls,Apparel & Accessories,Clothing,Tablet
1003_CId,129_PId,Bridgeport,NJ,008014,Scrapbooking & Stamping Kits,Arts & Entertainment,Hobbies & Creative Arts,Desk
1022_CId,143_PId,San Jose,CA,095111,Handheld Device Accessories,Electronics,Electronics Accessories,Mobile
1014_CId,143_PId,Chagrin Falls,OH,044023,Handheld Device Accessories,Electronics,Electronics Accessories,Desk
1023_CId,135_PId,Irving,TX,075062,Otoscopes & Ophthalmoscopes,Business & Industrial,Medical,Mobile
1024_CId,138_PId,Albany,NY,012204,Vital Signs Monitor Accessories,Business & Industrial,Medical,Mobile
1020_CId,126_PId,Rockford,IL,061109,Jewelry Making Kits,Arts & Entertainment,Hobbies & Creative Arts,Tablet
1026_CId,138_PId,Stevens Point,WI,054481,Vital Signs Monitor Accessories,Business & Industrial,Medical,Mobile
1030_CId,146_PId,Conroe,TX,077301,PDA Accessories,Electronics,Electronics Accessories,Desk
1002_CId,119_PId,Brighton,MI,048116,Nightgowns,Apparel & Accessories,Clothing,Tablet
1015_CId,104_PId,Laredo,TX,078045,Cat Furniture,Animals & Pet Supplies,Pet Supplies,Mobile
